timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/05/06 20:54:07.982, 0 %, 0 %, 0 MiB, 27.37 W
2026/05/06 20:54:08.987, [Unknown Error], [Unknown Error], 0 MiB, 28.66 W
2026/05/06 20:54:10.883, [Unknown Error], [Unknown Error], 0 MiB, 28.69 W
2026/05/06 20:54:12.760, [Unknown Error], [Unknown Error], 0 MiB, 28.76 W
2026/05/06 20:54:14.605, [Unknown Error], [Unknown Error], 0 MiB, 28.80 W
2026/05/06 20:54:16.443, [Unknown Error], [Unknown Error], 0 MiB, 28.82 W
2026/05/06 20:54:18.292, 0 %, 0 %, 0 MiB, 295708.06 W
2026/05/06 20:54:19.642, 0 %, 0 %, 302 MiB, 25.76 W
2026/05/06 20:54:20.643, 5 %, 1 %, 752 MiB, 24.74 W
2026/05/06 20:54:21.644, 0 %, 0 %, 752 MiB, 24.67 W
2026/05/06 20:54:22.649, 0 %, 0 %, 752 MiB, 24.73 W
2026/05/06 20:54:23.651, 0 %, 0 %, 752 MiB, 24.66 W
2026/05/06 20:54:24.653, 0 %, 0 %, 752 MiB, 24.69 W
2026/05/06 20:54:25.654, 0 %, 0 %, 752 MiB, 24.87 W
2026/05/06 20:54:26.656, 0 %, 0 %, 752 MiB, 24.54 W
2026/05/06 20:54:27.661, 0 %, 0 %, 752 MiB, 24.59 W
2026/05/06 20:54:28.662, 20 %, 1 %, 2566 MiB, 30.98 W
2026/05/06 20:54:29.664, 4 %, 2 %, 2888 MiB, 24.72 W
2026/05/06 20:54:30.665, 0 %, 0 %, 380 MiB, 16.64 W
2026/05/06 20:54:31.666, 0 %, 0 %, 0 MiB, 17.30 W
2026/05/06 20:54:32.667, [Unknown Error], [Unknown Error], 0 MiB, 29.07 W
2026/05/06 20:54:34.461, [Unknown Error], [Unknown Error], 0 MiB, 29.06 W
2026/05/06 20:54:36.333, [Unknown Error], [Unknown Error], 0 MiB, 29.07 W
2026/05/06 20:54:38.214, [Unknown Error], [Unknown Error], 0 MiB, 29.03 W
2026/05/06 20:54:42.197, [Unknown Error], [Unknown Error], 0 MiB, 29.07 W
2026/05/06 20:54:44.134, [Unknown Error], [Unknown Error], 0 MiB, 29.01 W
2026/05/06 20:54:46.032, [Unknown Error], [Unknown Error], 0 MiB, 29.00 W
2026/05/06 20:54:47.919, [Unknown Error], [Unknown Error], 0 MiB, 29.05 W
