timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/05/06 20:55:47.001, 0 %, 0 %, 0 MiB, 28.20 W
2026/05/06 20:55:48.034, [Unknown Error], [Unknown Error], 0 MiB, 29.19 W
2026/05/06 20:55:52.229, 0 %, 0 %, 0 MiB, 659446.00 W
2026/05/06 20:55:53.703, 0 %, 0 %, 302 MiB, 26.14 W
2026/05/06 20:55:54.707, 2 %, 0 %, 752 MiB, 25.04 W
2026/05/06 20:55:55.714, 0 %, 0 %, 752 MiB, 24.54 W
2026/05/06 20:55:56.715, 0 %, 0 %, 752 MiB, 24.70 W
2026/05/06 20:55:57.717, 0 %, 0 %, 752 MiB, 24.67 W
2026/05/06 20:55:58.718, 0 %, 0 %, 752 MiB, 24.57 W
2026/05/06 20:55:59.722, 0 %, 0 %, 752 MiB, 25.10 W
2026/05/06 20:56:00.724, 0 %, 0 %, 752 MiB, 24.54 W
2026/05/06 20:56:01.730, 0 %, 0 %, 752 MiB, 24.93 W
2026/05/06 20:56:02.734, 51 %, 6 %, 1562 MiB, 25.46 W
2026/05/06 20:56:03.735, 8 %, 1 %, 4252 MiB, 50.52 W
2026/05/06 20:56:04.736, 0 %, 0 %, 380 MiB, 22.58 W
2026/05/06 20:56:05.738, [Unknown Error], [Unknown Error], 0 MiB, 29.51 W
2026/05/06 20:56:07.494, [Unknown Error], [Unknown Error], 0 MiB, 29.52 W
2026/05/06 20:56:09.333, [Unknown Error], [Unknown Error], 0 MiB, 29.47 W
2026/05/06 20:56:11.172, [Unknown Error], [Unknown Error], 0 MiB, 29.41 W
2026/05/06 20:56:13.053, [Unknown Error], [Unknown Error], 0 MiB, 29.53 W
