timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/05/06 21:03:38.603, 0 %, 0 %, 0 MiB, 27.71 W
2026/05/06 21:03:39.609, [Unknown Error], [Unknown Error], 0 MiB, 29.17 W
2026/05/06 21:03:41.525, [Unknown Error], [Unknown Error], 0 MiB, 29.48 W
2026/05/06 21:03:43.434, [Unknown Error], [Unknown Error], 0 MiB, 29.35 W
2026/05/06 21:03:45.342, [Unknown Error], [Unknown Error], 0 MiB, 29.54 W
2026/05/06 21:03:47.240, 1 %, 0 %, 356 MiB, 31.85 W
2026/05/06 21:03:48.241, 2 %, 0 %, 408 MiB, 25.67 W
2026/05/06 21:03:49.242, 0 %, 0 %, 808 MiB, 26.21 W
2026/05/06 21:03:50.244, 0 %, 0 %, 808 MiB, 24.98 W
2026/05/06 21:03:53.743, 0 %, 0 %, 808 MiB, 25.06 W
2026/05/06 21:03:54.744, 0 %, 0 %, 808 MiB, 25.04 W
2026/05/06 21:03:55.745, 0 %, 0 %, 808 MiB, 25.07 W
2026/05/06 21:03:56.746, 0 %, 0 %, 808 MiB, 25.08 W
2026/05/06 21:03:57.748, 0 %, 0 %, 808 MiB, 25.08 W
2026/05/06 21:03:58.749, 19 %, 3 %, 4310 MiB, 44.47 W
2026/05/06 21:03:59.756, 4 %, 2 %, 860 MiB, 45.90 W
2026/05/06 21:04:00.757, 0 %, 0 %, 860 MiB, 18.00 W
2026/05/06 21:04:01.759, 0 %, 0 %, 860 MiB, 17.44 W
2026/05/06 21:04:02.760, 0 %, 0 %, 860 MiB, 17.47 W
2026/05/06 21:04:03.763, 0 %, 0 %, 834 MiB, 18.42 W
2026/05/06 21:04:04.765, 15 %, 9 %, 918 MiB, 29.58 W
2026/05/06 21:04:05.768, 21 %, 3 %, 990 MiB, 94.20 W
2026/05/06 21:04:06.770, 20 %, 4 %, 1110 MiB, 79.63 W
2026/05/06 21:04:07.771, 19 %, 4 %, 1228 MiB, 79.68 W
2026/05/06 21:04:08.772, 19 %, 4 %, 1348 MiB, 86.18 W
2026/05/06 21:04:09.775, 19 %, 4 %, 1466 MiB, 97.45 W
2026/05/06 21:04:10.777, 59 %, 18 %, 5400 MiB, 105.08 W
2026/05/06 21:04:11.778, 24 %, 5 %, 1812 MiB, 92.52 W
2026/05/06 21:04:12.780, 12 %, 3 %, 1812 MiB, 73.43 W
