timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/05/06 21:16:02.653, 0 %, 0 %, 0 MiB, 28.42 W
2026/05/06 21:16:03.656, [Unknown Error], [Unknown Error], 0 MiB, 28.70 W
2026/05/06 21:16:05.528, [Unknown Error], [Unknown Error], 0 MiB, 28.74 W
2026/05/06 21:16:07.398, [Unknown Error], [Unknown Error], 0 MiB, 28.78 W
2026/05/06 21:16:09.268, [Unknown Error], [Unknown Error], 0 MiB, 28.82 W
2026/05/06 21:16:11.142, [Unknown Error], [Unknown Error], 0 MiB, 28.86 W
2026/05/06 21:16:13.008, 0 %, 0 %, 356 MiB, 30.60 W
2026/05/06 21:16:14.010, 5 %, 1 %, 808 MiB, 26.99 W
2026/05/06 21:16:15.011, 0 %, 0 %, 808 MiB, 24.62 W
2026/05/06 21:16:16.012, 0 %, 0 %, 808 MiB, 24.64 W
2026/05/06 21:16:17.014, 0 %, 0 %, 808 MiB, 24.65 W
2026/05/06 21:16:18.015, 0 %, 0 %, 808 MiB, 24.63 W
2026/05/06 21:16:19.017, 0 %, 0 %, 808 MiB, 24.63 W
2026/05/06 21:16:20.019, 0 %, 0 %, 808 MiB, 24.66 W
2026/05/06 21:16:21.021, 0 %, 0 %, 808 MiB, 24.69 W
2026/05/06 21:16:22.022, 12 %, 1 %, 4310 MiB, 41.04 W
2026/05/06 21:16:23.024, 0 %, 0 %, 860 MiB, 41.17 W
2026/05/06 21:16:24.026, 0 %, 0 %, 860 MiB, 17.33 W
2026/05/06 21:16:25.027, 0 %, 0 %, 860 MiB, 17.08 W
2026/05/06 21:16:26.029, 0 %, 0 %, 860 MiB, 17.01 W
2026/05/06 21:16:27.030, 2 %, 2 %, 834 MiB, 19.50 W
2026/05/06 21:16:28.033, 19 %, 11 %, 1000 MiB, 42.20 W
2026/05/06 21:16:29.040, 22 %, 3 %, 1080 MiB, 92.59 W
2026/05/06 21:16:32.054, 22 %, 5 %, 1170 MiB, 64.56 W
2026/05/06 21:16:33.056, 22 %, 5 %, 1280 MiB, 79.52 W
2026/05/06 21:16:34.057, 22 %, 5 %, 1360 MiB, 74.32 W
2026/05/06 21:16:35.059, 22 %, 5 %, 1472 MiB, 83.40 W
2026/05/06 21:16:36.060, 27 %, 3 %, 5146 MiB, 94.04 W
2026/05/06 21:16:37.061, 15 %, 4 %, 1666 MiB, 80.19 W
2026/05/06 21:16:38.063, 25 %, 5 %, 1810 MiB, 97.61 W
2026/05/06 21:16:39.064, 24 %, 4 %, 2014 MiB, 132.79 W
2026/05/06 21:16:40.066, 18 %, 3 %, 2104 MiB, 133.05 W
2026/05/06 21:16:41.067, 23 %, 4 %, 2152 MiB, 136.82 W
2026/05/06 21:16:42.068, 15 %, 2 %, 2296 MiB, 127.98 W
2026/05/06 21:16:43.069, 18 %, 4 %, 2460 MiB, 132.45 W
2026/05/06 21:16:44.071, 26 %, 5 %, 2554 MiB, 136.78 W
2026/05/06 21:16:45.072, 23 %, 3 %, 2696 MiB, 131.43 W
2026/05/06 21:16:46.074, 28 %, 3 %, 6132 MiB, 101.61 W
2026/05/06 21:16:47.078, 10 %, 2 %, 2682 MiB, 110.26 W
2026/05/06 21:16:48.080, 24 %, 6 %, 2840 MiB, 136.43 W
2026/05/06 21:16:49.082, 25 %, 5 %, 2894 MiB, 135.64 W
2026/05/06 21:16:50.083, 26 %, 4 %, 3096 MiB, 136.94 W
2026/05/06 21:16:51.085, 25 %, 5 %, 3180 MiB, 135.06 W
2026/05/06 21:16:52.087, 26 %, 5 %, 3304 MiB, 136.08 W
2026/05/06 21:16:53.089, 24 %, 4 %, 3446 MiB, 137.32 W
2026/05/06 21:16:54.090, 26 %, 5 %, 3644 MiB, 135.51 W
2026/05/06 21:16:55.092, 23 %, 4 %, 3768 MiB, 137.79 W
2026/05/06 21:16:56.093, 24 %, 4 %, 3900 MiB, 135.44 W
2026/05/06 21:16:57.095, 26 %, 5 %, 3960 MiB, 136.11 W
2026/05/06 21:16:58.098, 24 %, 4 %, 4128 MiB, 135.65 W
2026/05/06 21:16:59.099, 24 %, 5 %, 4258 MiB, 135.89 W
2026/05/06 21:17:00.100, 22 %, 4 %, 4392 MiB, 134.91 W
2026/05/06 21:17:01.101, 25 %, 4 %, 4506 MiB, 136.02 W
2026/05/06 21:17:02.106, 25 %, 5 %, 4624 MiB, 137.19 W
2026/05/06 21:17:03.108, 24 %, 4 %, 4768 MiB, 136.08 W
2026/05/06 21:17:06.160, 24 %, 5 %, 4898 MiB, 134.99 W
2026/05/06 21:17:07.166, 23 %, 4 %, 5032 MiB, 136.08 W
2026/05/06 21:17:08.167, 26 %, 5 %, 5146 MiB, 141.90 W
2026/05/06 21:17:09.169, 23 %, 4 %, 5292 MiB, 141.96 W
2026/05/06 21:17:10.171, 23 %, 4 %, 5414 MiB, 136.68 W
2026/05/06 21:17:11.172, 24 %, 4 %, 5530 MiB, 138.37 W
2026/05/06 21:17:12.173, 23 %, 4 %, 5698 MiB, 135.68 W
2026/05/06 21:17:13.175, 26 %, 5 %, 5830 MiB, 135.75 W
2026/05/06 21:17:14.176, 22 %, 4 %, 5930 MiB, 137.52 W
2026/05/06 21:17:15.177, 22 %, 4 %, 6040 MiB, 135.92 W
2026/05/06 21:17:16.178, 19 %, 4 %, 6140 MiB, 122.54 W
2026/05/06 21:17:17.180, 23 %, 4 %, 6262 MiB, 137.42 W
2026/05/06 21:17:18.182, 23 %, 4 %, 6406 MiB, 136.78 W
2026/05/06 21:17:19.184, 24 %, 5 %, 6566 MiB, 139.84 W
2026/05/06 21:17:20.185, 23 %, 4 %, 6662 MiB, 135.90 W
2026/05/06 21:17:21.186, 24 %, 5 %, 6804 MiB, 137.40 W
2026/05/06 21:17:22.188, 24 %, 5 %, 6918 MiB, 135.52 W
2026/05/06 21:17:23.189, 23 %, 4 %, 7058 MiB, 135.99 W
2026/05/06 21:17:24.190, 24 %, 4 %, 7194 MiB, 137.92 W
2026/05/06 21:17:25.191, 24 %, 4 %, 7330 MiB, 134.79 W
2026/05/06 21:17:26.193, 24 %, 4 %, 7462 MiB, 136.32 W
2026/05/06 21:17:27.194, 26 %, 5 %, 7562 MiB, 136.50 W
2026/05/06 21:17:28.195, 26 %, 5 %, 7714 MiB, 136.69 W
2026/05/06 21:17:29.197, 26 %, 5 %, 7860 MiB, 135.35 W
2026/05/06 21:17:30.198, 27 %, 5 %, 8028 MiB, 135.88 W
2026/05/06 21:17:31.200, 24 %, 5 %, 8124 MiB, 136.90 W
2026/05/06 21:17:32.200, 26 %, 5 %, 8262 MiB, 137.49 W
2026/05/06 21:17:33.202, 23 %, 4 %, 8386 MiB, 136.02 W
2026/05/06 21:17:34.203, 24 %, 5 %, 8576 MiB, 134.23 W
2026/05/06 21:17:35.204, 25 %, 5 %, 8626 MiB, 135.88 W
2026/05/06 21:17:36.208, 24 %, 4 %, 8758 MiB, 134.03 W
2026/05/06 21:17:37.209, 28 %, 5 %, 8900 MiB, 138.21 W
2026/05/06 21:17:40.271, 25 %, 4 %, 9202 MiB, 131.75 W
2026/05/06 21:17:41.276, 26 %, 5 %, 9212 MiB, 137.29 W
2026/05/06 21:17:42.277, 25 %, 4 %, 9314 MiB, 135.89 W
2026/05/06 21:17:43.279, 23 %, 4 %, 9422 MiB, 130.27 W
2026/05/06 21:17:44.283, 0 %, 0 %, 9422 MiB, 20.69 W
2026/05/06 21:17:45.292, 0 %, 0 %, 9422 MiB, 17.78 W
