timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/05/06 21:12:48.116, 0 %, 0 %, 0 MiB, 27.31 W
2026/05/06 21:12:49.122, [Unknown Error], [Unknown Error], 0 MiB, 28.60 W
2026/05/06 21:12:50.960, [Unknown Error], [Unknown Error], 0 MiB, 28.59 W
2026/05/06 21:12:52.811, [Unknown Error], [Unknown Error], 0 MiB, 28.65 W
2026/05/06 21:12:54.701, [Unknown Error], [Unknown Error], 0 MiB, 28.70 W
2026/05/06 21:12:56.590, 0 %, 0 %, 356 MiB, 30.75 W
2026/05/06 21:12:57.591, 5 %, 1 %, 808 MiB, 26.70 W
2026/05/06 21:12:58.593, 0 %, 0 %, 808 MiB, 24.66 W
2026/05/06 21:12:59.594, 0 %, 0 %, 808 MiB, 24.68 W
2026/05/06 21:13:00.595, 0 %, 0 %, 808 MiB, 24.70 W
2026/05/06 21:13:01.596, 0 %, 0 %, 808 MiB, 24.76 W
2026/05/06 21:13:04.937, 0 %, 0 %, 808 MiB, 24.77 W
2026/05/06 21:13:05.952, 0 %, 0 %, 808 MiB, 24.72 W
2026/05/06 21:13:06.965, 0 %, 0 %, 808 MiB, 24.73 W
2026/05/06 21:13:07.966, 19 %, 4 %, 4314 MiB, 47.82 W
2026/05/06 21:13:08.968, 0 %, 0 %, 860 MiB, 31.69 W
2026/05/06 21:13:09.969, 0 %, 0 %, 860 MiB, 17.19 W
2026/05/06 21:13:10.975, 0 %, 0 %, 860 MiB, 17.03 W
2026/05/06 21:13:11.977, 0 %, 0 %, 822 MiB, 20.09 W
2026/05/06 21:13:12.980, 0 %, 2 %, 856 MiB, 25.41 W
2026/05/06 21:13:13.982, 22 %, 4 %, 960 MiB, 82.41 W
2026/05/06 21:13:14.988, 20 %, 5 %, 1080 MiB, 76.46 W
2026/05/06 21:13:15.990, 22 %, 5 %, 1200 MiB, 92.56 W
2026/05/06 21:13:16.991, 18 %, 4 %, 1302 MiB, 72.02 W
2026/05/06 21:13:17.992, 19 %, 4 %, 1436 MiB, 83.93 W
2026/05/06 21:13:18.994, 23 %, 3 %, 3166 MiB, 72.74 W
2026/05/06 21:13:19.997, 10 %, 3 %, 5434 MiB, 111.05 W
2026/05/06 21:13:20.998, 19 %, 4 %, 1776 MiB, 86.17 W
2026/05/06 21:13:21.999, 0 %, 0 %, 1776 MiB, 33.20 W
2026/05/06 21:13:23.003, 0 %, 0 %, 1776 MiB, 17.51 W
2026/05/06 21:13:24.014, 0 %, 0 %, 1776 MiB, 17.40 W
2026/05/06 21:13:25.015, 0 %, 0 %, 1776 MiB, 14.53 W
2026/05/06 21:13:26.017, 0 %, 0 %, 1776 MiB, 14.91 W
2026/05/06 21:13:27.019, 0 %, 0 %, 1776 MiB, 9.29 W
2026/05/06 21:13:28.021, 0 %, 0 %, 1776 MiB, 8.54 W
2026/05/06 21:13:29.023, 0 %, 0 %, 1776 MiB, 12.32 W
2026/05/06 21:13:30.026, 0 %, 0 %, 1776 MiB, 10.07 W
2026/05/06 21:13:31.029, 0 %, 0 %, 1776 MiB, 9.53 W
2026/05/06 21:13:32.031, 0 %, 0 %, 1776 MiB, 8.74 W
2026/05/06 21:13:33.034, 0 %, 0 %, 1776 MiB, 10.56 W
2026/05/06 21:13:34.036, 0 %, 0 %, 1776 MiB, 7.86 W
2026/05/06 21:13:35.038, 0 %, 0 %, 1776 MiB, 8.05 W
2026/05/06 21:13:36.041, 0 %, 0 %, 1776 MiB, 8.03 W
2026/05/06 21:13:39.344, 0 %, 0 %, 1776 MiB, 8.34 W
2026/05/06 21:13:40.363, 0 %, 0 %, 1776 MiB, 8.44 W
2026/05/06 21:13:41.365, 0 %, 0 %, 1776 MiB, 8.35 W
2026/05/06 21:13:42.368, 0 %, 0 %, 1776 MiB, 8.27 W
2026/05/06 21:13:43.370, 0 %, 0 %, 1776 MiB, 8.58 W
2026/05/06 21:13:44.373, 0 %, 0 %, 1776 MiB, 8.22 W
2026/05/06 21:13:45.375, 0 %, 0 %, 1776 MiB, 8.23 W
2026/05/06 21:13:46.377, 0 %, 0 %, 1776 MiB, 8.05 W
2026/05/06 21:13:47.380, 0 %, 0 %, 1776 MiB, 8.22 W
2026/05/06 21:13:48.382, 0 %, 0 %, 1776 MiB, 9.13 W
2026/05/06 21:13:49.384, 0 %, 0 %, 1776 MiB, 8.65 W
2026/05/06 21:13:50.386, 0 %, 0 %, 1776 MiB, 8.54 W
2026/05/06 21:13:51.389, 0 %, 0 %, 1776 MiB, 8.65 W
2026/05/06 21:13:52.393, 0 %, 0 %, 1776 MiB, 8.44 W
2026/05/06 21:13:53.395, 0 %, 0 %, 1776 MiB, 8.71 W
2026/05/06 21:13:54.398, 0 %, 0 %, 1776 MiB, 8.74 W
2026/05/06 21:13:55.400, 0 %, 0 %, 1776 MiB, 8.22 W
2026/05/06 21:13:56.402, 0 %, 0 %, 1776 MiB, 8.16 W
2026/05/06 21:13:57.405, 0 %, 0 %, 1776 MiB, 8.16 W
2026/05/06 21:13:58.407, 0 %, 0 %, 1776 MiB, 8.71 W
2026/05/06 21:13:59.410, 0 %, 0 %, 1776 MiB, 7.76 W
