timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/05/06 21:02:17.764, 0 %, 0 %, 0 MiB, 25.84 W
2026/05/06 21:02:18.766, 0 %, 0 %, 0 MiB, 158843.61 W
2026/05/06 21:02:20.172, [Unknown Error], [Unknown Error], 0 MiB, 28.79 W
2026/05/06 21:02:22.064, 0 %, 0 %, 0 MiB, 140632.27 W
2026/05/06 21:02:23.450, [Unknown Error], [Unknown Error], 0 MiB, 29.18 W
2026/05/06 21:02:25.330, 0 %, 0 %, 0 MiB, 126343.48 W
2026/05/06 21:02:26.718, [Unknown Error], [Unknown Error], 0 MiB, 119604.11 W
2026/05/06 21:02:28.530, 0 %, 0 %, 258 MiB, 27.45 W
2026/05/06 21:02:29.531, 0 %, 0 %, 356 MiB, 29.14 W
2026/05/06 21:02:30.533, 0 %, 0 %, 808 MiB, 26.04 W
2026/05/06 21:02:31.534, 0 %, 0 %, 808 MiB, 24.66 W
2026/05/06 21:02:32.536, 0 %, 0 %, 808 MiB, 24.71 W
2026/05/06 21:02:33.537, 0 %, 0 %, 808 MiB, 24.71 W
2026/05/06 21:02:34.538, 0 %, 0 %, 808 MiB, 24.67 W
2026/05/06 21:02:35.541, 0 %, 0 %, 808 MiB, 24.68 W
2026/05/06 21:02:36.542, 0 %, 0 %, 808 MiB, 24.81 W
2026/05/06 21:02:37.544, 0 %, 0 %, 892 MiB, 24.77 W
2026/05/06 21:02:38.546, 43 %, 16 %, 4310 MiB, 45.14 W
2026/05/06 21:02:39.547, 0 %, 0 %, 860 MiB, 41.36 W
2026/05/06 21:02:40.548, 0 %, 0 %, 860 MiB, 17.58 W
2026/05/06 21:02:41.550, 0 %, 0 %, 860 MiB, 17.18 W
2026/05/06 21:02:44.718, 0 %, 0 %, 860 MiB, 13.52 W
2026/05/06 21:02:45.720, 5 %, 7 %, 834 MiB, 20.12 W
2026/05/06 21:02:46.726, 60 %, 37 %, 920 MiB, 36.55 W
2026/05/06 21:02:47.732, 22 %, 4 %, 1024 MiB, 85.64 W
2026/05/06 21:02:48.734, 21 %, 5 %, 1144 MiB, 78.99 W
2026/05/06 21:02:49.736, 22 %, 5 %, 1262 MiB, 77.49 W
2026/05/06 21:02:50.738, 22 %, 5 %, 1366 MiB, 74.68 W
2026/05/06 21:02:51.740, 13 %, 3 %, 1604 MiB, 80.11 W
2026/05/06 21:02:52.742, 30 %, 6 %, 5380 MiB, 106.58 W
2026/05/06 21:02:53.743, 22 %, 5 %, 1654 MiB, 67.34 W
2026/05/06 21:02:54.746, 25 %, 5 %, 1786 MiB, 108.03 W
2026/05/06 21:02:55.747, 35 %, 4 %, 1974 MiB, 115.99 W
2026/05/06 21:02:56.748, 24 %, 4 %, 2118 MiB, 133.23 W
2026/05/06 21:02:57.750, 24 %, 4 %, 2254 MiB, 132.21 W
2026/05/06 21:02:58.752, 28 %, 4 %, 2382 MiB, 134.70 W
2026/05/06 21:02:59.753, 26 %, 4 %, 2562 MiB, 135.74 W
2026/05/06 21:03:00.754, 27 %, 4 %, 2712 MiB, 136.05 W
2026/05/06 21:03:01.755, 35 %, 3 %, 5074 MiB, 113.63 W
2026/05/06 21:03:02.757, 22 %, 6 %, 6536 MiB, 114.47 W
2026/05/06 21:03:03.758, 26 %, 6 %, 2860 MiB, 132.11 W
2026/05/06 21:03:04.760, 0 %, 0 %, 2862 MiB, 50.19 W
2026/05/06 21:03:05.762, 0 %, 0 %, 2862 MiB, 19.43 W
2026/05/06 21:03:06.769, 0 %, 0 %, 2862 MiB, 17.29 W
2026/05/06 21:03:07.770, 0 %, 0 %, 4 MiB, 19.27 W
2026/05/06 21:03:08.772, [Unknown Error], [Unknown Error], 0 MiB, 54884.40 W
2026/05/06 21:03:10.658, [Unknown Error], [Unknown Error], 0 MiB, 29.70 W
2026/05/06 21:03:12.547, [Unknown Error], [Unknown Error], 0 MiB, 29.61 W
2026/05/06 21:03:14.430, [Unknown Error], [Unknown Error], 0 MiB, 29.66 W
