timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], power.draw [W]
2026/05/06 21:01:54.432, 0 %, 0 %, 0 MiB, 26.94 W
2026/05/06 21:01:55.436, [Unknown Error], [Unknown Error], 0 MiB, 28.65 W
2026/05/06 21:01:57.328, [Unknown Error], [Unknown Error], 0 MiB, 28.45 W
2026/05/06 21:01:59.205, [Unknown Error], [Unknown Error], 0 MiB, 28.56 W
2026/05/06 21:02:01.099, [Unknown Error], [Unknown Error], 0 MiB, 28.71 W
2026/05/06 21:02:02.984, 0 %, 0 %, 356 MiB, 30.45 W
2026/05/06 21:02:03.985, 0 %, 0 %, 808 MiB, 26.59 W
2026/05/06 21:02:04.987, 0 %, 0 %, 808 MiB, 24.55 W
2026/05/06 21:02:05.988, 0 %, 0 %, 808 MiB, 24.59 W
2026/05/06 21:02:06.990, [Unknown Error], [Unknown Error], 0 MiB, 28.89 W
2026/05/06 21:02:11.038, [Unknown Error], [Unknown Error], 0 MiB, 28.81 W
2026/05/06 21:02:12.906, [Unknown Error], [Unknown Error], 0 MiB, 28.78 W
2026/05/06 21:02:14.780, [Unknown Error], [Unknown Error], 0 MiB, 28.86 W
2026/05/06 21:02:16.648, [Unknown Error], [Unknown Error], 0 MiB, 28.83 W
2026/05/06 21:02:18.514, [Unknown Error], [Unknown Error], 0 MiB, 29.00 W
2026/05/06 21:02:20.393, 0 %, 0 %, 0 MiB, 149103.72 W
2026/05/06 21:02:21.814, [Unknown Error], [Unknown Error], 0 MiB, 29.11 W
2026/05/06 21:02:23.704, 0 %, 0 %, 0 MiB, 133112.59 W
