wall_time_iso,index,utilization.gpu [%],utilization.memory [%],memory.used [MiB],power.draw [W],clocks.current.graphics [MHz],temperature.gpu
2026/05/19 18:01:16.915, 0, 0, 0, 579, 60.17, 2565, 38
2026/05/19 18:01:16.917, 1, 6, 0, 2952, 49.94, 795, 45
2026/05/19 18:01:17.149, 0, 0, 0, 579, 60.17, 2565, 38
2026/05/19 18:01:17.151, 1, 15, 2, 3016, 37.58, 705, 45
2026/05/19 18:01:17.386, 0, 0, 0, 579, 60.53, 2565, 38
2026/05/19 18:01:17.389, 1, 15, 2, 3020, 37.58, 705, 45
2026/05/19 18:01:17.616, 0, 0, 0, 579, 60.53, 2565, 38
2026/05/19 18:01:17.618, 1, 15, 2, 3023, 37.58, 705, 45
2026/05/19 18:01:17.848, 0, 1, 0, 579, 60.97, 2565, 38
2026/05/19 18:01:17.850, 1, 15, 2, 3023, 26.57, 585, 45
2026/05/19 18:01:18.080, 0, 1, 0, 579, 60.97, 2565, 38
2026/05/19 18:01:18.083, 1, 15, 2, 3023, 26.57, 585, 45
2026/05/19 18:01:18.314, 0, 1, 0, 579, 60.97, 2565, 38
2026/05/19 18:01:18.317, 1, 45, 20, 3023, 26.59, 540, 45
2026/05/19 18:01:18.551, 0, 1, 0, 579, 61.35, 2565, 38
2026/05/19 18:01:18.554, 1, 45, 20, 3007, 26.59, 540, 45
2026/05/19 18:01:18.786, 0, 1, 0, 579, 61.35, 2565, 38
2026/05/19 18:01:18.789, 1, 45, 20, 3007, 25.16, 750, 45
2026/05/19 18:01:19.018, 0, 0, 0, 579, 61.15, 2565, 38
2026/05/19 18:01:19.021, 1, 45, 20, 3007, 25.16, 750, 45
2026/05/19 18:01:19.255, 0, 0, 0, 579, 61.15, 2565, 38
2026/05/19 18:01:19.257, 1, 20, 3, 3007, 21.30, 750, 44
2026/05/19 18:01:19.486, 0, 0, 0, 579, 60.54, 2565, 38
2026/05/19 18:01:19.488, 1, 20, 3, 3002, 21.30, 750, 44
2026/05/19 18:01:19.760, 0, 0, 0, 579, 60.54, 2565, 38
