timestamp, utilization.gpu [%], utilization.memory [%], power.draw [W], memory.used [MiB], temperature.gpu
2026/05/10 16:32:54.368, 0 %, 0 %, 29.22 W, 0 MiB, 45
2026/05/10 16:32:54.577, 0 %, 0 %, 26.36 W, 0 MiB, 45
2026/05/10 16:32:54.781, [Unknown Error], [Unknown Error], 4698.29 W, 0 MiB, 45
2026/05/10 16:32:55.783, 0 %, 0 %, 29.13 W, 0 MiB, 45
2026/05/10 16:32:55.990, 0 %, 0 %, 27.75 W, 0 MiB, 46
2026/05/10 16:32:56.192, 0 %, 0 %, 26.14 W, 0 MiB, 46
2026/05/10 16:32:56.393, [Unknown Error], [Unknown Error], 4472.91 W, 0 MiB, 46
2026/05/10 16:32:57.397, 0 %, 0 %, 29.17 W, 0 MiB, 46
2026/05/10 16:32:57.606, 0 %, 0 %, 25.83 W, 0 MiB, 46
2026/05/10 16:32:57.807, 0 %, 0 %, 26.39 W, 0 MiB, 46
2026/05/10 16:32:58.008, [Unknown Error], [Unknown Error], 4270.82 W, 0 MiB, 46
2026/05/10 16:32:59.017, 0 %, 0 %, 29.18 W, 0 MiB, 46
2026/05/10 16:32:59.222, 0 %, 0 %, 29.35 W, 0 MiB, 46
2026/05/10 16:32:59.429, 1 %, 0 %, 27.94 W, 254 MiB, 46
2026/05/10 16:32:59.630, 2 %, 0 %, 25.79 W, 318 MiB, 46
2026/05/10 16:32:59.835, 1 %, 0 %, 25.91 W, 254 MiB, 46
2026/05/10 16:33:00.036, 0 %, 0 %, 25.86 W, 254 MiB, 46
2026/05/10 16:33:00.237, 0 %, 0 %, 26.41 W, 254 MiB, 46
2026/05/10 16:33:00.440, 0 %, 0 %, 24.37 W, 254 MiB, 46
2026/05/10 16:33:00.641, 0 %, 0 %, 24.48 W, 254 MiB, 46
2026/05/10 16:33:00.843, 1 %, 0 %, 24.78 W, 254 MiB, 46
2026/05/10 16:33:01.044, 0 %, 0 %, 24.65 W, 254 MiB, 46
2026/05/10 16:33:01.246, 0 %, 0 %, 24.89 W, 254 MiB, 46
2026/05/10 16:33:01.448, 0 %, 0 %, 24.53 W, 254 MiB, 46
