display_idx,window_role,seq,source_frame_index,row_controller_mask_pixels,row_hand_a_mask_pixels,row_hand_b_mask_pixels,prepared_controller_mask_pixels,prepared_hand_a_mask_pixels,prepared_hand_b_mask_pixels,prepared_object_mask_pixels,raw_depth_file_exists,raw_depth_valid_in_controller_mask,raw_depth_valid_ratio_in_controller_mask,pcd_valid_in_controller_mask,pcd_valid_ratio_in_controller_mask,visible_track_count,visible_track_in_controller_mask_count,all_track_in_controller_mask_count,raw_depth_mm_q01,raw_depth_mm_q05,raw_depth_mm_q50,raw_depth_mm_q95,raw_depth_mm_q99,pcd_distance_m_q01,pcd_distance_m_q05,pcd_distance_m_q50,pcd_distance_m_q95,pcd_distance_m_q99
0,window,0,0,6007,3103,2904,3625,1853,2133,18395,False,0,0.0,3625,1.0,5000,675,675,,,,,,0.1329345464706421,0.1438072830438614,0.22738195955753326,0.46403515338897705,0.47396039247512817
1,window,313,2411,6002,2831,3171,3273,1571,2199,18911,True,2443,0.7464100213871067,3273,1.0,5000,615,615,618.0,627.0,688.0,727.0,728.0,0.12775039732456206,0.13644252121448516,0.22049494087696075,0.4454010903835296,0.4552711904048919
2,window,314,2417,6145,2827,3318,2956,1276,2103,18494,True,2375,0.8034506089309879,2956,1.0,4998,586,588,595.48,638.0,692.0,727.0,731.0,0.12878447398543358,0.1359451748430729,0.19368626922369003,0.43596699833869934,0.44756966084241867
3,window,315,2423,5811,2531,3280,3128,1245,2188,18875,True,2668,0.8529411764705882,3128,1.0,4998,576,578,603.0,605.0,691.0,726.0,732.0,0.12830282956361772,0.13521693572402,0.21624141931533813,0.434628963470459,0.44939602345228197
4,window,316,2429,6074,2866,3208,2671,891,2315,19617,True,1932,0.7233245975290153,2671,1.0,4998,481,483,619.0,638.0,701.0,726.0,729.0,0.12837700843811034,0.1351676806807518,0.19579683244228363,0.4285246431827545,0.4648950070142746
5,window,317,2436,5038,2844,2194,3461,2195,1737,18991,True,2579,0.7451603582779543,3461,1.0,4998,701,703,637.0,648.0,690.0,727.0,734.0,0.1278029203414917,0.13649171590805054,0.40535658597946167,0.4472937285900116,0.45720316767692565
6,window,318,2441,6160,2893,3267,3817,1750,2417,18875,True,2616,0.6853549908304951,3817,1.0,4998,668,670,593.0,599.0,689.0,729.0,735.0,0.1295660090446472,0.13849387168884278,0.22677452862262726,0.4352315485477447,0.44668273448944096
7,window,319,2447,5059,2838,2221,3231,1517,2062,17816,True,1997,0.6180748994119468,3231,1.0,4998,657,659,601.0,629.0,701.0,727.0,731.0,0.1279336228966713,0.13546370714902878,0.20060521364212036,0.43873491883277893,0.44792053699493406
8,window,320,2453,5047,2846,2201,2291,1259,1413,19068,True,1879,0.8201658664338717,2291,1.0,4998,442,444,637.0,649.0,701.0,725.0,728.0,0.12644778341054916,0.13427360355854034,0.21105796098709106,0.44002285599708557,0.4607264310121536
9,window,321,2459,5975,2830,3145,3368,1585,2322,18724,True,2385,0.7081353919239906,3368,1.0,4998,604,606,591.0,626.2,694.0,727.0,734.0,0.12818162992596627,0.13608309775590896,0.2235899195075035,0.44523928612470626,0.46157619774341585
