display_idx,window_role,seq,source_frame_index,raw_controller_pixels,raw_hand_a_pixels,raw_hand_b_pixels,raw_object_pixels,controller_pcd_pixels,processed_controller_pixels,processed_hand_a_pixels,processed_hand_b_pixels,processed_object_pixels
0,window,0,0,6007,3103,2904,20339,6007,3625,1853,2133,18395
1,window,309,2387,5828,2783,3045,20924,5828,3815,1776,2365,19176
2,window,310,2393,5419,2403,3016,20932,5419,2846,1309,1947,19304
3,window,311,2399,5967,2834,3133,20919,5967,3257,1480,2150,19460
4,window,312,2405,5992,2839,3153,20940,5992,3658,1684,2289,18849
5,window,313,2411,6002,2831,3171,20949,6002,3273,1571,2199,18911
6,window,314,2417,6145,2827,3318,20929,6145,2956,1276,2103,18494
7,window,315,2423,5811,2531,3280,20957,5811,3128,1245,2188,18875
8,window,316,2429,6074,2866,3208,20976,6074,2671,891,2315,19617
9,window,317,2436,5038,2844,2194,20986,5038,3461,2195,1737,18991
10,window,318,2441,6160,2893,3267,20866,6160,3817,1750,2417,18875
11,window,319,2447,5059,2838,2221,20856,5059,3231,1517,2062,17816
12,window,320,2453,5047,2846,2201,20877,5047,2291,1259,1413,19068
13,window,321,2459,5975,2830,3145,20868,5975,3368,1585,2322,18724
14,window,322,2465,6077,2864,3213,20847,6077,2854,1144,2012,18224
15,window,323,2471,5938,2900,3038,20820,5938,2922,1209,2043,18765
16,window,324,2477,6013,2909,3104,20815,6013,3750,1670,2452,18722
17,window,325,2483,5098,2875,2223,20894,5098,2711,1310,1884,19052
18,window,326,2489,6113,2900,3213,20856,6113,3346,1658,2122,19215
19,window,327,2495,5151,2874,2277,20895,5151,2550,1294,1568,18795
20,window,328,2501,6187,2915,3272,20933,6187,3737,1554,2537,19252
21,window,329,2507,5260,2883,2377,20936,5260,2803,1273,1774,19092
22,window,330,2513,5984,2852,3132,20925,5984,3285,1563,2108,19169
23,window,331,2519,5062,2889,2173,20912,5062,3053,1792,1683,19262
24,window,332,2525,4789,2513,2276,20964,4789,2665,1605,1584,19261
25,window,333,2531,6051,2861,3190,20966,6051,3098,1421,2107,19232
26,window,334,2537,5179,2909,2270,20963,5179,2642,1450,1650,19391
27,window,335,2543,6047,2910,3137,20959,6047,3350,1536,2226,18907
28,window,336,2549,6114,2868,3246,20940,6114,3484,1602,2236,19158
29,window,337,2555,6054,2907,3147,20868,6054,3285,1271,2530,18716
30,window,338,2561,6027,2880,3147,20959,6027,3560,1919,1978,19148
31,window,339,2567,6226,2901,3325,20958,6226,3525,1514,2462,18841
32,window,340,2573,6026,2881,3145,20799,6026,3888,1796,2372,18488
33,window,341,2579,5676,2404,3272,20802,5676,3604,1478,2617,18809
34,window,342,2585,4990,2393,2597,20817,4990,2844,1170,2078,18934
35,borrow,343,2591,6091,2766,3325,20899,6091,3367,1616,2205,18640
